Summary,Talk Ratio %,Emotion,NER,Audio_URL,Channels,Silence %,Duration of audio
Running looking for a child 12 me from Medicare. All I needed. Most medical plan and options and you are eligible to lower down your medication cost. And you can get your own dental vision and hearing coverage in a $0 premium or a snail talk to you. Okay. Great. We also have your own private is Magic Pan like from Humana or Blue Cross Blue Shield arp. Give me a minute. Okay. And I'll tell her you're getting some copay for Duncanville or even an insurance from you minutes. How much are you trying to spend Easter with,39.06732412491872,positive,"{'12': 'CARDINAL', 'Medicare': 'ORG', '0': 'MONEY', 'Magic Pan': 'PRODUCT', 'Humana': 'ORG', 'Blue Cross Blue Shield': 'ORG', 'a minute': 'TIME', 'Duncanville': 'PERSON', 'minutes': 'TIME', 'Easter': 'GPE'}",https://callhounds.com/wp-content/uploads/2020/10/Health-Insurance-1.mp3,Mono,0.0681663258350375,146.6698866213152
you man? Medications. Everything is,3.5453767094167095,neutral,,https://callhounds.com/wp-content/uploads/2020/10/Health-Insurance-1.mp3,Mono,0.0681663258350375,146.6698866213152
"the medication. You can save more money on your medical plan together with Humana. Medicare the date on your Medicare benefits and coverage. And also, just to make sure that you are aware of the new changes with the pimento benefits that have taken place. We can provide you, those premium benefits cost savings plan on your Medicare. Part B birthday.",29.794800423367334,positive,"{'Humana': 'ORG', 'Medicare': 'ORG'}",https://callhounds.com/wp-content/uploads/2020/10/Health-Insurance-1.mp3,Mono,0.0681663258350375,146.6698866213152
"Shorty. Okay, thank you. Okay.",3.5453767094166997,positive,,https://callhounds.com/wp-content/uploads/2020/10/Health-Insurance-1.mp3,Mono,0.0681663258350375,146.6698866213152
"Alright, thank you so much. Alright, thanks.",5.863507634804551,positive,,https://callhounds.com/wp-content/uploads/2020/10/Health-Insurance-1.mp3,Mono,0.0681663258350375,146.6698866213152
"Hello. Hello. Hi, good afternoon. Am I speaking with the Tony Musselman Medicare online and I'm calling you the kids. So there should have been some reason about the Medicare as we wanted to make sure that you are off the policy. And I believe them you already have your Medicare Parts a and you",13.691109707949463,positive,"{'Tony Musselman Medicare': 'PERSON', 'Medicare': 'ORG'}",https://callhounds.com/wp-content/uploads/2020/10/Health-Insurance-2.mp3,Mono,6.7811158798283255,232.99791383219954
"correct,",0.0,neutral,,https://callhounds.com/wp-content/uploads/2020/10/Health-Insurance-2.mp3,Mono,6.7811158798283255,232.99791383219954
my cell eligible to lower your medication cost. And we wanted to make sure also that you get your benefits including Dental over the counter for $0 or no extra called. So are you receiving your benefits for no extra cost.,8.712524359604204,positive,"{'Dental': 'ORG', '0': 'MONEY'}",https://callhounds.com/wp-content/uploads/2020/10/Health-Insurance-2.mp3,Mono,6.7811158798283255,232.99791383219954
"now, your car",0.30043187446910563,neutral,,https://callhounds.com/wp-content/uploads/2020/10/Health-Insurance-2.mp3,Mono,6.7811158798283255,232.99791383219954
"for $0 copay also,",0.6008637489382174,neutral,{'0': 'MONEY'},https://callhounds.com/wp-content/uploads/2020/10/Health-Insurance-2.mp3,Mono,6.7811158798283255,232.99791383219954
I don't know,0.21459419604936467,neutral,,https://callhounds.com/wp-content/uploads/2020/10/Health-Insurance-2.mp3,Mono,6.7811158798283255,232.99791383219954
that you are receiving all of your upgraded benefits. I've got a license Medicare specialist on the other line to get over those amazing benefits.,4.077289724937929,positive,{'Medicare': 'ORG'},https://callhounds.com/wp-content/uploads/2020/10/Health-Insurance-2.mp3,Mono,6.7811158798283255,232.99791383219954
2452.,0.0,neutral,{'2452': 'DATE'},https://callhounds.com/wp-content/uploads/2020/10/Health-Insurance-2.mp3,Mono,6.7811158798283255,232.99791383219954
Can we just come? You wanna look Cross. Blue Shield ARP Tricare. What time do you have right now?,3.2618317799503402,positive,{'Blue Shield': 'ORG'},https://callhounds.com/wp-content/uploads/2020/10/Health-Insurance-2.mp3,Mono,6.7811158798283255,232.99791383219954
Has a a r p.,0.42918839209872933,neutral,,https://callhounds.com/wp-content/uploads/2020/10/Health-Insurance-2.mp3,Mono,6.7811158798283255,232.99791383219954
"A r k. Okay. Hold on my chicken, okay.",16.99586032710969,positive,,https://callhounds.com/wp-content/uploads/2020/10/Health-Insurance-2.mp3,Mono,6.7811158798283255,232.99791383219954
"Call is now being recorded. ABC, Plumbing and heating. This is",5.971290057300509,neutral,{'ABC': 'ORG'},https://callhounds.com/wp-content/uploads/2020/10/Local-Plumber.mp3,Mono,19.853836784409257,82.05931972789115
Betty. Hey buddy. I'm having a problem with my sewer drain.,3.7777549342105274,neutral,{'Betty': 'ORG'},https://callhounds.com/wp-content/uploads/2020/10/Local-Plumber.mp3,Mono,19.853836784409257,82.05931972789115
"I'm so sorry to hear that. Sir, would you like me to get ahold of September for you?",3.899617996604416,negative,{'September': 'DATE'},https://callhounds.com/wp-content/uploads/2020/10/Local-Plumber.mp3,Mono,19.853836784409257,82.05931972789115
See how much is going to cost?,0.9749044991511046,positive,,https://callhounds.com/wp-content/uploads/2020/10/Local-Plumber.mp3,Mono,19.853836784409257,82.05931972789115
"Unfortunately, I wouldn't be able to quote prices but I can't get ahold of someone who would be able to give you a better idea.",5.849426994906623,positive,,https://callhounds.com/wp-content/uploads/2020/10/Local-Plumber.mp3,Mono,19.853836784409257,82.05931972789115
I'm in the back of truck. The entire house.,2.1935351230899838,neutral,,https://callhounds.com/wp-content/uploads/2020/10/Local-Plumber.mp3,Mono,19.853836784409257,82.05931972789115
Are you a client at,1.0967675615449899,neutral,,https://callhounds.com/wp-content/uploads/2020/10/Local-Plumber.mp3,Mono,19.853836784409257,82.05931972789115
ABC? I did use them before they put in my garbage disposal but nothing major like this.,6.580605369269948,positive,{'ABC': 'ORG'},https://callhounds.com/wp-content/uploads/2020/10/Local-Plumber.mp3,Mono,19.853836784409257,82.05931972789115
"Let me get your name and number and I can patch you right through to the plumber, your name sir. Would you spell your last name for me? Please.",10.480223365874366,positive,,https://callhounds.com/wp-content/uploads/2020/10/Local-Plumber.mp3,Mono,19.853836784409257,82.05931972789115
A r r y.,0.8530414367572191,neutral,,https://callhounds.com/wp-content/uploads/2020/10/Local-Plumber.mp3,Mono,19.853836784409257,82.05931972789115
01714. 602-651-7144 moment.,16.573376485568755,neutral,"{'01714': 'DATE', '602-651': 'CARDINAL'}",https://callhounds.com/wp-content/uploads/2020/10/Local-Plumber.mp3,Mono,19.853836784409257,82.05931972789115
You're awesome. Thank you.,0.8530414367572191,positive,,https://callhounds.com/wp-content/uploads/2020/10/Local-Plumber.mp3,Mono,19.853836784409257,82.05931972789115
Call is now being recorded.,0.6889050359917733,neutral,,https://callhounds.com/wp-content/uploads/2020/10/Property-Management-Office.mp3,Mono,22.615535889872174,101.6105215419501
"Hey, yeah, I'm in Apartment 104 on the first floor on concrete, right about my neighbors, being loud again. I bought this for their attention several times that they never",15.746400822669104,positive,{'first': 'ORDINAL'},https://callhounds.com/wp-content/uploads/2020/10/Property-Management-Office.mp3,Mono,22.615535889872174,101.6105215419501
"stop. Okay, I'm very sorry about that. Just let me take down your contact information and I'll contact the landlord right away now. Okay, mister Matthews. Can you spell that for",15.844815827810788,positive,{'Matthews': 'PERSON'},https://callhounds.com/wp-content/uploads/2020/10/Property-Management-Office.mp3,Mono,22.615535889872174,101.6105215419501
me? Is Jeff Jeff? Last name is Matthews Matthews.,7.9716154164762285,neutral,"{'Jeff Jeff': 'PERSON', 'Matthews Matthews': 'ORG'}",https://callhounds.com/wp-content/uploads/2020/10/Property-Management-Office.mp3,Mono,22.615535889872174,101.6105215419501
Apartment number again.,0.3936600205667262,neutral,,https://callhounds.com/wp-content/uploads/2020/10/Property-Management-Office.mp3,Mono,22.615535889872174,101.6105215419501
Sure. It's 610-265-1714. And I'm in Apartment 104 on the,8.463690442184646,positive,{'610': 'CARDINAL'},https://callhounds.com/wp-content/uploads/2020/10/Property-Management-Office.mp3,Mono,22.615535889872174,101.6105215419501
"first floor. Can I have 610 to 65171 for an apartment 104? Hi, this is not even going to pass this information on to the landlord right away and will be contacting you shortly. Is there anything else I can help you with today? Thank you very much. Have a great night.",21.45447112088665,positive,"{'first': 'ORDINAL', '610': 'CARDINAL', '104': 'CARDINAL', 'today': 'DATE'}",https://callhounds.com/wp-content/uploads/2020/10/Property-Management-Office.mp3,Mono,22.615535889872174,101.6105215419501
"Call is now being recorded. Good afternoon, Mountain Security Services.",4.400946624087592,positive,"{'afternoon': 'TIME', 'Mountain Security Services': 'ORG'}",https://callhounds.com/wp-content/uploads/2020/10/Security-System-Monitoring.mp3,Mono,30.052356020942405,95.43401360544217
I'm having a system installed my house.,2.4100421989051086,neutral,,https://callhounds.com/wp-content/uploads/2020/10/Security-System-Monitoring.mp3,Mono,30.052356020942405,95.43401360544217
"Let me get your information and I'll have a security specialist, give you a call and discuss your knees first. Could I have your name",5.867928832116788,positive,{'first': 'ORDINAL'},https://callhounds.com/wp-content/uploads/2020/10/Security-System-Monitoring.mp3,Mono,30.052356020942405,95.43401360544217
sir?,0.0,neutral,,https://callhounds.com/wp-content/uploads/2020/10/Security-System-Monitoring.mp3,Mono,30.052356020942405,95.43401360544217
"Bacon. Could you spell the last name, please?",2.933964416058395,neutral,{'Bacon': 'ORG'},https://callhounds.com/wp-content/uploads/2020/10/Security-System-Monitoring.mp3,Mono,30.052356020942405,95.43401360544217
Sagen.,0.0,neutral,,https://callhounds.com/wp-content/uploads/2020/10/Security-System-Monitoring.mp3,Mono,30.052356020942405,95.43401360544217
And the number where you can be reached.,1.2574133211678862,neutral,,https://callhounds.com/wp-content/uploads/2020/10/Security-System-Monitoring.mp3,Mono,30.052356020942405,95.43401360544217
"610. 265 17,",3.4578866332116798,neutral,"{'610': 'CARDINAL', '265 17': 'CARDINAL'}",https://callhounds.com/wp-content/uploads/2020/10/Security-System-Monitoring.mp3,Mono,30.052356020942405,95.43401360544217
15. Could I get the address of where you would like the security system installed?,4.715299954379562,neutral,{'15': 'CARDINAL'},https://callhounds.com/wp-content/uploads/2020/10/Security-System-Monitoring.mp3,Mono,30.052356020942405,95.43401360544217
Service 800. North Henderson Road in King of Prussia.,5.553575501824815,neutral,{'North Henderson Road': 'ORG'},https://callhounds.com/wp-content/uploads/2020/10/Security-System-Monitoring.mp3,Mono,30.052356020942405,95.43401360544217
That's Henderson Henderson. King alien,10.478444343065693,negative,{'Henderson Henderson': 'PERSON'},https://callhounds.com/wp-content/uploads/2020/10/Security-System-Monitoring.mp3,Mono,30.052356020942405,95.43401360544217
G of Prussia Prussia.,3.4578866332116833,neutral,,https://callhounds.com/wp-content/uploads/2020/10/Security-System-Monitoring.mp3,Mono,30.052356020942405,95.43401360544217
"And your ZIP code. 19406. Thank you, mr. Fagan. A security specialist will be calling you momentarily. Is there anything else that I can do for you today?",11.002366560218977,neutral,"{'19406': 'DATE', 'Fagan': 'PERSON', 'today': 'DATE'}",https://callhounds.com/wp-content/uploads/2020/10/Security-System-Monitoring.mp3,Mono,30.052356020942405,95.43401360544217
Picture of a butt.,0.3143533302919678,neutral,,https://callhounds.com/wp-content/uploads/2020/10/Security-System-Monitoring.mp3,Mono,30.052356020942405,95.43401360544217
Yellow.,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/Technician-Assignment.wav,Mono,0.21141649048625794,94.6
"Hello. Is this Jeff Richard? Hi, this is Stella from Barrister. I'm calling, because I have an open ticket for you in 100 East Tyler, Street, Tampa, Florida. The ZIP code is 33606 and this is for a sons are direct units. All do complete installation. Are you available for this work order? This is +474-250-281-3367 and this is for miscellaneous services. I I",79.06976744186048,positive,"{'this Jeff Richard': 'PERSON', 'Barrister': 'PERSON', '100': 'CARDINAL', 'East Tyler': 'GPE', 'Street': 'GPE', 'Tampa': 'GPE', 'Florida': 'GPE', '33606': 'DATE', '250': 'CARDINAL'}",https://callhounds.com/wp-content/uploads/2022/12/Technician-Assignment.wav,Mono,0.21141649048625794,94.6
guess,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/Technician-Assignment.wav,Mono,0.21141649048625794,94.6
guess,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/Technician-Assignment.wav,Mono,0.21141649048625794,94.6
like,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/Technician-Assignment.wav,Mono,0.21141649048625794,94.6
like,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/Technician-Assignment.wav,Mono,0.21141649048625794,94.6
right,0.0,positive,,https://callhounds.com/wp-content/uploads/2022/12/Technician-Assignment.wav,Mono,0.21141649048625794,94.6
right,0.0,positive,,https://callhounds.com/wp-content/uploads/2022/12/Technician-Assignment.wav,Mono,0.21141649048625794,94.6
"now,",0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/Technician-Assignment.wav,Mono,0.21141649048625794,94.6
"now,",0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/Technician-Assignment.wav,Mono,0.21141649048625794,94.6
